Unnamed: 0,host id,host name,borough,lat,long,price,service fee,number of reviews,geometry
78203,84372420708,Maria,Manhattan,40.77672,-73.95559,283,57,14,POINT (-73.95559 40.77672)
44872,363501410,Heather,Queens,40.69242,-73.79673,244,49,14,POINT (-73.79673 40.69242)
49007,66371406332,Darkhan,Queens,40.73455,-73.88899,783,157,0,POINT (-73.88899000000001 40.73455)
19401,63416064216,Ben,Queens,40.74422,-73.95432,512,102,5,POINT (-73.95432 40.74422)
45636,59488889686,Cindy,Manhattan,40.75216,-73.96912,570,114,0,POINT (-73.96912 40.75216)
67440,78363804958,Aaron,Brooklyn,40.69045,-73.96068,935,187,29,POINT (-73.96068 40.69045)
95806,47728206337,Kazuya,Manhattan,40.81098,-73.94278,554,111,1,POINT (-73.94278 40.81098)
26243,66762111883,Haider & Galiya,Brooklyn,40.63498,-74.01966,1111,222,39,POINT (-74.01966 40.63498)
1866,71932267296,Monica,Brooklyn,40.66229,-73.96296,397,79,84,POINT (-73.96296 40.66229)
40200,4864884119,Roxanna,Queens,40.72045,-73.85782,108,22,2,POINT (-73.85782 40.72045)
